Total $\rho$,Scenario,Regret
0,Uniform Sample,121.34402093118756
0,Optimal Sample,81.02510513222846
0,Uniform Sample,256.471227184093
0,Optimal Sample,112.42920000315154
0,Uniform Sample,433.7988976382232
0,Optimal Sample,232.6434456090229
0,Uniform Sample,268.21816738775186
0,Optimal Sample,26.07844690296444
0,Uniform Sample,304.4720904256637
0,Optimal Sample,57.75725540523097
0,Uniform Sample,184.81975294466866
0,Optimal Sample,99.59334397024165
0,Uniform Sample,240.96799364488894
0,Optimal Sample,131.90430536907124
0,Uniform Sample,432.08551970734055
0,Optimal Sample,171.42166873804806
0,Uniform Sample,226.4228211711805
0,Optimal Sample,96.6811207726916
0,Uniform Sample,185.53921643413167
0,Optimal Sample,105.23036335822688
0,Uniform Sample,108.2127529536269
0,Optimal Sample,86.76205750375242
0,Uniform Sample,103.33190706697532
0,Optimal Sample,46.00654885930771
0,Uniform Sample,105.27107465549359
0,Optimal Sample,58.31950843853734
0,Uniform Sample,114.18485088984461
0,Optimal Sample,16.689302979741633
0,Uniform Sample,439.3068633312511
0,Optimal Sample,43.0884351527983
0,Uniform Sample,70.71211538321712
0,Optimal Sample,112.46177309924526
0,Uniform Sample,67.81985218788232
0,Optimal Sample,25.788631331789684
0,Uniform Sample,264.7110911609586
0,Optimal Sample,30.37948332391632
0,Uniform Sample,82.63289643867998
0,Optimal Sample,70.78026724348359
0,Uniform Sample,257.6265124685536
0,Optimal Sample,94.34278395940981
0,Uniform Sample,429.6453246227327
0,Optimal Sample,13.554450274038006
0,Uniform Sample,817.000713704566
0,Optimal Sample,19.760875317910777
0,Uniform Sample,202.69855113473156
0,Optimal Sample,69.86046038765268
0,Uniform Sample,55.98427853063951
0,Optimal Sample,103.46442715189727
0,Uniform Sample,49.17140691126697
0,Optimal Sample,88.33323796027321
0,Uniform Sample,101.62883035219191
0,Optimal Sample,12.523398125292552
0,Uniform Sample,211.14447798666654
0,Optimal Sample,76.85750865229886
0,Uniform Sample,192.25736690594928
0,Optimal Sample,34.77005570670143
0,Uniform Sample,150.96018575777958
0,Optimal Sample,157.792866016427
0,Uniform Sample,446.0265560867416
0,Optimal Sample,108.20956359311376
0,Uniform Sample,120.8422323812148
0,Optimal Sample,111.87729032562966
0,Uniform Sample,90.81112098409979
0,Optimal Sample,82.25741427452552
0,Uniform Sample,47.59427210410271
0,Optimal Sample,112.81029239185744
0,Uniform Sample,283.13627851245286
0,Optimal Sample,39.845769015029184
0,Uniform Sample,561.7052788369862
0,Optimal Sample,93.94019616270897
0,Uniform Sample,168.018117380339
0,Optimal Sample,22.422459338170967
0,Uniform Sample,137.94139193572175
0,Optimal Sample,88.02105820818734
0,Uniform Sample,226.74264185970048
0,Optimal Sample,210.52581277984473
0,Uniform Sample,512.8039203288404
0,Optimal Sample,58.79131099193946
0,Uniform Sample,81.70943538842825
0,Optimal Sample,82.85484756832619
0,Uniform Sample,489.0790281047173
0,Optimal Sample,87.83381969264926
0,Uniform Sample,99.71701316912737
0,Optimal Sample,47.69976072528168
0,Uniform Sample,156.30811700627095
0,Optimal Sample,285.3372433862245
0,Uniform Sample,174.74561964856326
0,Optimal Sample,28.49814419301288
0,Uniform Sample,232.3555141309921
0,Optimal Sample,152.23447291493284
0,Uniform Sample,182.21079433682314
0,Optimal Sample,10.879287290404893
0,Uniform Sample,377.33604075019093
0,Optimal Sample,45.13579937586974
0,Uniform Sample,562.6108729641708
0,Optimal Sample,123.88898566694
0,Uniform Sample,60.861683929194655
0,Optimal Sample,36.272621770234466
0,Uniform Sample,242.07879691181867
0,Optimal Sample,49.98396833231658
0,Uniform Sample,62.06695470205045
0,Optimal Sample,76.83226003629945
0,Uniform Sample,192.98512905484176
0,Optimal Sample,205.3356714781591
0,Uniform Sample,91.7569150870878
0,Optimal Sample,55.30118158461011
0,Uniform Sample,288.45844854281853
0,Optimal Sample,21.319521100585764
0,Uniform Sample,18.703709342133486
0,Optimal Sample,14.207990161824723
0,Uniform Sample,279.88924636653536
0,Optimal Sample,291.37491142949204
0,Uniform Sample,201.64030949554353
0,Optimal Sample,69.09269607686862
0,Uniform Sample,93.9470747437681
0,Optimal Sample,253.41647084099486
0,Uniform Sample,581.2861654015204
0,Optimal Sample,52.6738246414061
0,Uniform Sample,185.91065210020503
0,Optimal Sample,40.809917294692944
0,Uniform Sample,306.91821613320747
