Total $\rho$,Scenario,Forecast error
0,Uniform Sample,11.575359496892967
0,Optimal Sample,5.89463672795611
0,Uniform Sample,9.465534998901598
0,Optimal Sample,5.655461540510702
0,Uniform Sample,11.15242852579282
0,Optimal Sample,7.68526136160828
0,Uniform Sample,13.385352843999913
0,Optimal Sample,3.75925833348502
0,Uniform Sample,10.434760716917843
0,Optimal Sample,4.6196965228433635
0,Uniform Sample,10.935875622250641
0,Optimal Sample,5.453169277843874
0,Uniform Sample,9.930030083655387
0,Optimal Sample,7.4255787689639075
0,Uniform Sample,10.495239584927328
0,Optimal Sample,7.642217109000909
0,Uniform Sample,7.338481064795569
0,Optimal Sample,5.315732111987709
0,Uniform Sample,9.811933752683927
0,Optimal Sample,5.974141280228805
0,Uniform Sample,5.625468621251552
0,Optimal Sample,4.744776705108784
0,Uniform Sample,7.117469684047674
0,Optimal Sample,5.1075512499138265
0,Uniform Sample,8.350017527345402
0,Optimal Sample,4.6910257523228
0,Uniform Sample,9.111703619798414
0,Optimal Sample,6.27071550429401
0,Uniform Sample,10.635234960239147
0,Optimal Sample,4.154590751414191
0,Uniform Sample,6.90564637294076
0,Optimal Sample,6.507653743491538
0,Uniform Sample,8.462606219886723
0,Optimal Sample,3.9697960267440835
0,Uniform Sample,8.736756348558515
0,Optimal Sample,4.103595915482641
0,Uniform Sample,6.388775945943347
0,Optimal Sample,4.652902366769827
0,Uniform Sample,11.0242125117106
0,Optimal Sample,5.593721687179682
0,Uniform Sample,10.143665254067308
0,Optimal Sample,5.88203552330191
0,Uniform Sample,13.186469789498927
0,Optimal Sample,4.869212657356867
0,Uniform Sample,9.664783780271591
0,Optimal Sample,6.177279840557264
0,Uniform Sample,8.348031756230931
0,Optimal Sample,5.384564342527078
0,Uniform Sample,4.9643632774289665
0,Optimal Sample,4.962256403754024
0,Uniform Sample,6.777895645688332
0,Optimal Sample,5.082192132209922
0,Uniform Sample,8.24174610250599
0,Optimal Sample,7.431542790077815
0,Uniform Sample,13.378556470351098
0,Optimal Sample,4.676258361304854
0,Uniform Sample,8.27763995766143
0,Optimal Sample,6.012591338801413
0,Uniform Sample,11.681890223072509
0,Optimal Sample,6.081188347447116
0,Uniform Sample,8.422653697798328
0,Optimal Sample,4.508697782524745
0,Uniform Sample,5.781476526781306
0,Optimal Sample,4.776493756851807
0,Uniform Sample,8.237428055787598
0,Optimal Sample,4.993642243108839
0,Uniform Sample,9.050695747177198
0,Optimal Sample,5.57778050639896
0,Uniform Sample,11.985645670249886
0,Optimal Sample,6.226916555868274
0,Uniform Sample,7.702721738952233
0,Optimal Sample,3.9687441632526275
0,Uniform Sample,16.69326650879355
0,Optimal Sample,5.894286962320636
0,Uniform Sample,7.548611928893907
0,Optimal Sample,6.8600140260018865
0,Uniform Sample,17.373125633363646
0,Optimal Sample,7.026406660537688
0,Uniform Sample,8.510868594489757
0,Optimal Sample,5.924866788411007
0,Uniform Sample,10.028643178379008
0,Optimal Sample,4.779665010255465
0,Uniform Sample,9.51526748970247
0,Optimal Sample,4.2155326196175
0,Uniform Sample,11.238287295966552
0,Optimal Sample,8.91369039199319
0,Uniform Sample,8.41554470965236
0,Optimal Sample,6.122714762909517
0,Uniform Sample,8.840334118360191
0,Optimal Sample,5.089767056895341
0,Uniform Sample,7.609818672149707
0,Optimal Sample,4.558470034710402
0,Uniform Sample,8.15730276686606
0,Optimal Sample,5.813366707533332
0,Uniform Sample,14.028811807892515
0,Optimal Sample,8.084836397358789
0,Uniform Sample,5.954258496867615
0,Optimal Sample,5.030470161401588
0,Uniform Sample,8.856156813288221
0,Optimal Sample,5.038326045277517
0,Uniform Sample,7.6456952502172495
0,Optimal Sample,6.217609739658538
0,Uniform Sample,10.441149126705804
0,Optimal Sample,7.157977417249075
0,Uniform Sample,7.942927744735225
0,Optimal Sample,6.758318901361766
0,Uniform Sample,8.348589453061692
0,Optimal Sample,5.099785414979374
0,Uniform Sample,4.868324080505013
0,Optimal Sample,5.139399728999864
0,Uniform Sample,11.759798995803294
0,Optimal Sample,6.769191094547036
0,Uniform Sample,7.620921936971098
0,Optimal Sample,5.3033106061279645
0,Uniform Sample,7.276078387763361
0,Optimal Sample,9.06260431853995
0,Uniform Sample,11.310124010114846
0,Optimal Sample,6.366653609571403
0,Uniform Sample,8.573849062353945
0,Optimal Sample,5.614827340535384
0,Uniform Sample,9.41316683317719
0,Optimal Sample,7.188029589302817
0,Uniform Sample,8.778300318958463
0,Optimal Sample,4.416328077218336
0,Uniform Sample,6.132446425418341
0,Optimal Sample,5.849054744203724
0,Uniform Sample,8.7221625626348
0,Optimal Sample,4.396707886445114
0,Uniform Sample,9.071116056976177
0,Optimal Sample,4.404446358072021
0,Uniform Sample,12.765631495132597
0,Optimal Sample,4.077569120782941
0,Uniform Sample,7.030350680445955
0,Optimal Sample,6.403640671647477
0,Uniform Sample,7.105727706903952
0,Optimal Sample,7.197556175775744
0,Uniform Sample,7.766093312046386
0,Optimal Sample,6.881294910449777
0,Uniform Sample,11.46390350268777
0,Optimal Sample,4.841295852617122
0,Uniform Sample,9.082928353729708
0,Optimal Sample,5.3735715016078505
0,Uniform Sample,14.439592541967565
0,Optimal Sample,6.720418307594781
0,Uniform Sample,9.723538974055435
0,Optimal Sample,5.765316362600368
0,Uniform Sample,7.7838024694398635
0,Optimal Sample,5.082206668629201
0,Uniform Sample,8.958082674351274
0,Optimal Sample,5.092280909816513
0,Uniform Sample,8.828515261200561
0,Optimal Sample,6.114500138036428
0,Uniform Sample,8.300728225783821
0,Optimal Sample,4.92876876621809
0,Uniform Sample,5.500977801993304
0,Optimal Sample,8.144576574273756
0,Uniform Sample,9.340638005121678
0,Optimal Sample,4.486531648515568
0,Uniform Sample,10.129156648049799
0,Optimal Sample,3.949303270205744
0,Uniform Sample,10.754820777686708
0,Optimal Sample,4.688133452835118
0,Uniform Sample,8.211677883452404
0,Optimal Sample,6.310509765657262
0,Uniform Sample,8.72844591359361
0,Optimal Sample,7.915250654261916
0,Uniform Sample,7.445686776534718
0,Optimal Sample,5.587092003854397
0,Uniform Sample,11.766628883305126
0,Optimal Sample,5.455980795098651
0,Uniform Sample,6.477680383522602
0,Optimal Sample,5.4920829908338735
0,Uniform Sample,7.69391615834193
0,Optimal Sample,4.864754218695258
0,Uniform Sample,8.909696451390904
0,Optimal Sample,7.570597069210335
0,Uniform Sample,10.147930476051908
0,Optimal Sample,5.604581192851326
0,Uniform Sample,10.438554095524674
0,Optimal Sample,6.5404317120872655
0,Uniform Sample,9.064106307584904
0,Optimal Sample,5.93068686029787
0,Uniform Sample,10.878358147478334
0,Optimal Sample,3.1689252672824315
0,Uniform Sample,9.986636281808638
0,Optimal Sample,4.546166352421978
0,Uniform Sample,9.667340299817507
0,Optimal Sample,6.901682622186374
0,Uniform Sample,6.719758709701019
0,Optimal Sample,5.688100271321604
0,Uniform Sample,10.898860895144537
0,Optimal Sample,4.730511661301047
0,Uniform Sample,6.956506899240383
0,Optimal Sample,5.2890201923451485
0,Uniform Sample,11.215563262352545
0,Optimal Sample,7.019911407280496
0,Uniform Sample,12.332089568234766
0,Optimal Sample,6.133171454303068
0,Uniform Sample,11.792194898969246
0,Optimal Sample,6.766621950586306
0,Uniform Sample,6.056186808064735
0,Optimal Sample,4.972429527254965
0,Uniform Sample,8.769413215897439
0,Optimal Sample,5.185061325211602
0,Uniform Sample,7.077750047592965
0,Optimal Sample,7.230569047259494
0,Uniform Sample,9.02962607927829
0,Optimal Sample,3.4201540150902567
0,Uniform Sample,9.184142620010316
0,Optimal Sample,4.361777331468138
0,Uniform Sample,9.949579055687234
0,Optimal Sample,5.175020019416853
0,Uniform Sample,7.941615858789655
0,Optimal Sample,4.766638219358969
0,Uniform Sample,9.820651311648199
0,Optimal Sample,5.887674547252034
0,Uniform Sample,7.682983772041362
0,Optimal Sample,6.814839689037873
0,Uniform Sample,10.270226757160026
0,Optimal Sample,6.354552983012094
0,Uniform Sample,9.454535382939065
0,Optimal Sample,5.862733515819017
0,Uniform Sample,6.495619984659018
0,Optimal Sample,4.852903700507671
0,Uniform Sample,7.35286291952501
0,Optimal Sample,5.323805591348424
0,Uniform Sample,8.18593142582945
0,Optimal Sample,5.749470680272163
0,Uniform Sample,7.347843880871822
0,Optimal Sample,5.6650775718189355
0,Uniform Sample,9.235496027430647
0,Optimal Sample,5.887548181920299
0,Uniform Sample,8.539345207065924
0,Optimal Sample,6.234157025770251
0,Uniform Sample,8.332675080308857
0,Optimal Sample,4.296211891316451
0,Uniform Sample,9.146037635075206
0,Optimal Sample,6.56744600917712
0,Uniform Sample,8.214672531943828
0,Optimal Sample,7.871354369204609
0,Uniform Sample,6.015195260891524
0,Optimal Sample,5.3263121479071165
0,Uniform Sample,9.785358953548176
0,Optimal Sample,4.600467680666284
0,Uniform Sample,7.261551707788738
0,Optimal Sample,6.779901973167934
0,Uniform Sample,9.065986369597793
0,Optimal Sample,4.92080559029811
0,Uniform Sample,5.419147067651649
0,Optimal Sample,5.4412715554046995
0,Uniform Sample,8.71374076422626
0,Optimal Sample,5.886464488962388
0,Uniform Sample,8.037839533154544
0,Optimal Sample,5.338971919253435
0,Uniform Sample,4.8831131418347375
0,Optimal Sample,5.822511576748788
0,Uniform Sample,6.447881819620924
0,Optimal Sample,4.305193491947476
0,Uniform Sample,11.799740419273135
0,Optimal Sample,7.228178269600513
0,Uniform Sample,11.818502088444667
0,Optimal Sample,4.896728070184388
0,Uniform Sample,11.096341226643585
0,Optimal Sample,4.931232001961297
0,Uniform Sample,9.065903322396299
0,Optimal Sample,9.894133237362434
0,Uniform Sample,10.260835814779561
0,Optimal Sample,4.92175347404627
0,Uniform Sample,12.701569905818653
0,Optimal Sample,6.374184515518276
0,Uniform Sample,8.653442511554811
0,Optimal Sample,6.064134326501126
0,Uniform Sample,6.434848911172071
0,Optimal Sample,5.683287790912179
0,Uniform Sample,5.530858518498363
0,Optimal Sample,5.705758145285827
0,Uniform Sample,8.221773624520376
0,Optimal Sample,4.896175632335
0,Uniform Sample,6.8886488800049435
0,Optimal Sample,6.046722785186632
0,Uniform Sample,7.87797088470041
0,Optimal Sample,5.414665074480743
0,Uniform Sample,8.060735924499694
0,Optimal Sample,3.6882909020743417
0,Uniform Sample,10.289907435175365
0,Optimal Sample,5.48275100621519
0,Uniform Sample,9.290127059253992
0,Optimal Sample,5.327700916541976
0,Uniform Sample,8.472722777553228
0,Optimal Sample,4.185203934739668
0,Uniform Sample,7.576812848576981
0,Optimal Sample,5.165653432555838
0,Uniform Sample,8.165616826055258
0,Optimal Sample,4.749479830975421
0,Uniform Sample,10.881116273918902
0,Optimal Sample,5.442344599728368
0,Uniform Sample,8.204300213375264
0,Optimal Sample,8.500551826342814
0,Uniform Sample,8.723832795809512
0,Optimal Sample,7.481721090966608
0,Uniform Sample,14.018483647996296
0,Optimal Sample,6.795399384657826
0,Uniform Sample,9.051538657162846
0,Optimal Sample,4.5050500026405205
