Total $\rho$,Scenario,Forecast error
0,Optimal Sample,0.8693254157150344
0,Uniform Sample,2.536420380302961
0,Optimal Sample,1.626160385054901
0,Uniform Sample,2.6736018182041095
0,Optimal Sample,11.522829240293897
0,Uniform Sample,14.164714826661656
0,Optimal Sample,0.8424823140682325
0,Uniform Sample,1.7724043377032799
0,Optimal Sample,0.8241523599795691
0,Uniform Sample,0.9571437869056165
0,Optimal Sample,2.0039157311538975
0,Uniform Sample,4.8561658205398555
0,Optimal Sample,1.6200610906859847
0,Uniform Sample,2.3408177307307536
0,Optimal Sample,6.986373185460127
0,Uniform Sample,14.368423354994105
0,Optimal Sample,2.1366723023318817
0,Uniform Sample,3.305210741954996
0,Optimal Sample,10.941468401170127
0,Uniform Sample,13.7088548763554
0,Optimal Sample,7.566936389791206
0,Uniform Sample,8.83430673793426
0,Optimal Sample,1.4205562901564466
0,Uniform Sample,2.1438557094350603
0,Optimal Sample,2.26351319495301
0,Uniform Sample,4.616689273224528
0,Optimal Sample,0.792463383320516
0,Uniform Sample,1.331887317471445
0,Optimal Sample,0.5495154179642371
0,Uniform Sample,0.5245143657864114
0,Optimal Sample,1.7981642609878101
0,Uniform Sample,1.863189428287533
0,Optimal Sample,1.206985659057986
0,Uniform Sample,2.139392654676754
0,Optimal Sample,0.5891540843626732
0,Uniform Sample,2.508674324747405
0,Optimal Sample,2.80633125902001
0,Uniform Sample,1.6820032652381796
0,Optimal Sample,1.762497298260172
0,Uniform Sample,4.49373007156644
0,Optimal Sample,1.129460847961604
0,Uniform Sample,2.1477199387653085
0,Optimal Sample,4.183594584460559
0,Uniform Sample,4.769195198583288
0,Optimal Sample,1.1500171522286886
0,Uniform Sample,0.9862832574796339
0,Optimal Sample,4.003703577181602
0,Uniform Sample,6.476101082684593
0,Optimal Sample,2.162420257404883
0,Uniform Sample,4.05157045687836
0,Optimal Sample,2.1749099221680077
0,Uniform Sample,4.805632090642902
0,Optimal Sample,0.8412148123194975
0,Uniform Sample,0.8998084544627728
0,Optimal Sample,0.9417920121250631
0,Uniform Sample,1.5133513479071232
0,Optimal Sample,0.6389634365140228
0,Uniform Sample,0.7474776907850854
0,Optimal Sample,14.424774722467744
0,Uniform Sample,30.166429545646867
0,Optimal Sample,1.631141455608937
0,Uniform Sample,1.784934262826673
0,Optimal Sample,0.6523766963072225
0,Uniform Sample,1.1617871472457921
0,Optimal Sample,3.481702929150029
0,Uniform Sample,6.5266126097141575
0,Optimal Sample,12.752497505001351
0,Uniform Sample,10.600888453995962
0,Optimal Sample,1.450559643245911
0,Uniform Sample,2.789567575538027
0,Optimal Sample,1.973854864586486
0,Uniform Sample,2.145048019956144
0,Optimal Sample,0.4744845666345915
0,Uniform Sample,0.9500608045613258
0,Optimal Sample,6.16912295245993
0,Uniform Sample,12.320226149695927
0,Optimal Sample,1.35218246088552
0,Uniform Sample,2.2546386434484385
0,Optimal Sample,1.7552510893474438
0,Uniform Sample,2.1930374665576253
0,Optimal Sample,6.932075898477589
0,Uniform Sample,6.308005042969351
0,Optimal Sample,0.7911181854971355
0,Uniform Sample,0.6871068746720347
0,Optimal Sample,0.27835614278360127
0,Uniform Sample,0.4673549388323464
0,Optimal Sample,2.012368547624173
0,Uniform Sample,1.0720109074432358
0,Optimal Sample,1.7007174720138751
0,Uniform Sample,2.238674271832048
0,Optimal Sample,11.105898859831303
