Total $\rho$,Source,c,rho
0,0,0.5221258582585091,0.0
0,1,0.42029503213694575,0.0
0,2,0.05757910960454511,-0.0
0.5,0,0.29352689625449624,2.718134638053209e-10
0.5,1,0.23629013047485753,2.6531393745101876e-10
0.5,2,0.4701829732706463,0.4999999994628726
1.0,0,0.18642649269038955,4.448760967663378e-09
1.0,1,0.18438749929343431,0.06478792396353308
1.0,2,0.6291860080161762,0.935212071587706
1.5,0,0.14283437277573988,4.015920990770976e-09
1.5,1,0.37592063355185246,0.5712403645935101
1.5,2,0.4812449936724077,0.9287596313905688
2.0,0,0.13023513481684929,0.015478972886225208
2.0,1,0.4099818135759407,0.8903277348265469
2.0,2,0.4597830516072099,1.094193292287228
2.5,0,0.2354868741169187,0.586249088686531
2.5,1,0.35780168973690224,0.8426112311771538
2.5,2,0.4067114361461791,1.0711396801363153
3.0,0,0.281321868066676,0.9497801139516941
3.0,1,0.33951883446743747,0.927186868697325
3.0,2,0.3791592974658865,1.1230330173509808
3.5,0,0.30575492572595225,1.2589005000336082
3.5,1,0.33107137083118665,1.0449125184367312
3.5,2,0.36317370344286115,1.1961869815296609
4.0,0,0.3200467683409931,1.543633753241143
4.0,1,0.32646264459291263,1.175677046686301
4.0,2,0.35349058706609426,1.280689200072556
4.5,0,0.32908055157636873,1.8191500865524826
4.5,1,0.3236038973352137,1.3110105254261344
4.5,2,0.34731555108841755,1.3698393880213833
5.0,0,0.33472014560117486,2.083659629437397
5.0,1,0.32186502465571454,1.451314910742716
5.0,2,0.34341482974311066,1.4650254598198873
